Z	A	Level	YI	YI uncert
52	134	0	0.062155	0.0024862
40	100	0	0.0497641	0.0159245
54	138	0	0.0481413	0.00134796
38	95	0	0.0453728	0.000907456
38	94	0	0.0451267	0.000631774
36	90	0	0.0439695	0.000615573
54	139	0	0.0432328	0.000864656
56	143	0	0.041004	0.00164016
56	144	0	0.0397478	0.00111294
40	99	0	0.0358394	0.00824306
38	96	0	0.0356811	0.00071362
54	140	0	0.0350576	0.00098161
36	89	0	0.0343845	0.000481383
52	135	0	0.0321618	0.00192971
54	137	0	0.031942	0.00089438
36	91	0	0.0315598	0.0003156
37	92	0	0.0313173	0.00062635
37	93	0	0.0306672	0.000429341
56	142	0	0.0301423	0.00180854
52	133	1	0.0298605	0.00179163
53	135	0	0.0292737	0.000819663
55	141	0	0.0291513	0.000583025
40	101	0	0.0278782	0.00111513
53	137	0	0.0262236	0.00104895
40	98	0	0.0257356	0.011581
38	93	0	0.0256971	0.00051394
55	142	0	0.0227813	0.000637875
51	133	0	0.0225655	0.00135393
37	91	0	0.0222492	0.000311489
54	136	0	0.0219242	0.0098659
55	140	0	0.0206988	0.00057957
39	96	1	0.020195	0.00646239
39	99	0	0.0194933	0.0011696
41	101	0	0.0191624	0.000766497
57	145	0	0.0191497	0.00153197
56	145	0	0.0186621	0.00111973
40	102	0	0.0178133	0.000712534
36	88	0	0.0173221	0.00069289
38	97	0	0.0172068	0.000481791
56	141	0	0.0165949	0.00182544
36	92	0	0.016581	0.000464268
51	131	0	0.0165069	0.000660274
39	97	1	0.0157025	0.0100496
39	97	0	0.0157025	0.0100496
37	94	0	0.0156647	0.000438612
52	132	0	0.0153084	0.000918503
53	138	0	0.0142412	0.00039875
41	103	0	0.0141029	0.00324366
55	143	0	0.0140295	0.00056118
35	88	0	0.0138742	0.000277485
53	136	0	0.0131936	0.00105549
52	136	0	0.0131733	0.00105387
55	139	0	0.0130586	0.000522345
51	132	0	0.0130348	0.00078209
35	87	0	0.0127177	0.0003561
53	136	1	0.0125125	0.000750752
58	148	0	0.0123548	0.00284161
54	141	0	0.0121914	0.00034136
52	133	0	0.0114813	0.00068888
42	104	0	0.0112745	0.000676472
39	98	0	0.0110632	0.00354023
39	98	1	0.0110632	0.00354023
39	95	0	0.011054	0.00353729
40	97	0	0.0109237	0.000655425
38	92	0	0.0107518	0.000645107
57	144	0	0.0106974	0.000641847
35	89	0	0.0103927	0.000415707
42	103	0	0.0103685	0.000622109
58	147	0	0.00997971	0.00109777
56	146	0	0.00913827	0.000365531
51	132	1	0.00862766	0.00051766
34	86	0	0.00835835	0.000234034
38	98	0	0.00808091	0.000484855
41	102	1	0.0078944	0.00505242
41	102	0	0.0078944	0.00505242
53	139	0	0.00771429	0.000617144
37	95	0	0.00763687	0.00030548
57	146	1	0.00744941	0.00476762
57	146	0	0.00744941	0.00476762
34	87	0	0.00731048	0.00029242
37	90	1	0.0070662	0.00452237
58	149	0	0.00697909	0.00111665
42	105	0	0.00668015	0.00026721
42	102	0	0.00650731	0.00052059
57	147	0	0.00643265	0.00070759
34	84	0	0.00630945	0.000126189
32	86	0	0.00628666	0.00100586
50	132	0	0.00591824	0.00023673
58	146	0	0.00582932	0.000641225
39	100	0	0.00567391	0.0036313
35	90	0	0.00552553	0.00033153
50	130	1	0.00542239	0.00347033
50	130	0	0.00542239	0.00347033
53	134	0	0.00500237	0.00030014
40	103	0	0.00498868	0.00319275
56	140	0	0.0048836	0.00112323
36	93	0	0.00486312	0.000194525
36	87	0	0.00463375	0.000278025
34	85	0	0.00446688	0.00285881
34	85	1	0.00446688	0.00285881
50	131	0	0.004405	0.0028192
50	131	1	0.004405	0.0028192
54	142	0	0.00434173	0.000260504
55	144	0	0.00417681	0.000250609
41	99	1	0.00406579	0.000325263
52	137	0	0.00392386	0.000313909
58	150	0	0.00391764	0.00250729
39	94	0	0.00389833	0.000311867
57	143	0	0.00379478	0.00242866
53	134	1	0.00364183	0.00233077
59	147	0	0.00359546	0.00230109
42	106	0	0.0035919	0.000143676
51	134	1	0.00358248	0.00229279
51	134	0	0.00358248	0.00229279
51	130	1	0.00356752	0.00228321
40	96	0	0.0033705	0.000370755
57	148	0	0.00336285	0.00215223
41	100	0	0.00318902	0.00204098
41	100	1	0.00318902	0.00204098
59	149	0	0.00296816	0.000949811
33	83	0	0.00290689	0.00011628
41	104	1	0.00285216	0.00182538
41	104	0	0.00285216	0.00182538
39	101	0	0.00278002	0.000305803
39	102	0	0.00267979	0.00171507
34	88	0	0.00267874	0.000160724
38	91	0	0.00250483	0.00015029
56	147	0	0.00243638	0.00038982
55	138	0	0.00243195	0.00026751
59	151	0	0.0023856	0.00152678
35	85	0	0.00235019	0.00014101
52	131	1	0.00233331	0.000186664
50	129	0	0.00230314	0.000253345
35	86	0	0.00229736	0.000064326
35	86	1	0.00229736	0.00147031
39	96	0	0.00224388	0.00143608
35	91	0	0.00223704	0.000246075
55	138	1	0.00223374	0.000245712
59	150	0	0.00218338	0.00139736
51	130	0	0.0021451	0.00137286
37	89	0	0.00204542	8.18166E-05
50	129	1	0.00195858	0.00011752
42	101	0	0.00185841	0.000297345
54	135	1	0.00178122	0.000106873
37	96	0	0.00168422	0.000134738
