Neutron energy =  2.5300E-02

PRODUCT      ZAFP     FPS           Y          DY
----------- ------- ------- ----------- -----------
24-Cr- 66    24066.      0.  0.0000E+00  0.0000E+00
24-Cr- 67    24067.      0.  0.0000E+00  0.0000E+00
24-Cr- 68    24068.      0.  0.0000E+00  0.0000E+00
24-Cr- 69    24069.      0.  1.9014E-18  1.2169E-18
24-Cr- 70    24070.      0.  0.0000E+00  0.0000E+00
25-Mn- 66    25066.      0.  3.6899E-12  2.3616E-12
25-Mn- 67    25067.      0.  7.5799E-13  4.8511E-13
25-Mn- 68    25068.      0.  1.5800E-13  1.0112E-13
25-Mn- 69    25069.      0.  2.6698E-14  1.7087E-14
25-Mn- 70    25070.      0.  0.0000E+00  0.0000E+00
25-Mn- 71    25071.      0.  0.0000E+00  0.0000E+00
25-Mn- 72    25072.      0.  9.0794E-18  5.8108E-18
26-Fe- 66    26066.      0.  3.6300E-10  2.3232E-10
26-Fe- 67    26067.      0.  1.8200E-10  1.1648E-10
26-Fe- 68    26068.      0.  1.3500E-10  8.6399E-11
26-Fe- 69    26069.      0.  5.8699E-11  3.7568E-11
26-Fe- 70    26070.      0.  1.8400E-11  1.1776E-11
26-Fe- 71    26071.      0.  1.8300E-12  1.1712E-12
26-Fe- 72    26072.      0.  2.2799E-13  1.4591E-13
26-Fe- 73    26073.      0.  0.0000E+00  0.0000E+00
26-Fe- 74    26074.      0.  0.0000E+00  0.0000E+00
26-Fe- 76    26076.      0.  0.0000E+00  0.0000E+00
27-Co- 66    27066.      0.  1.1500E-09  7.3599E-10
27-Co- 67    27067.      0.  1.8600E-09  1.1904E-09
27-Co- 68    27068.      0.  3.0800E-09  1.9712E-09
27-Co- 69    27069.      0.  4.6599E-09  2.9824E-09
27-Co- 70    27070.      0.  3.6100E-09  2.3104E-09
27-Co- 71    27071.      0.  1.2900E-09  8.2559E-10
27-Co- 72    27072.      0.  4.1299E-10  2.6432E-10
27-Co- 73    27073.      0.  6.7999E-11  4.3520E-11
27-Co- 74    27074.      0.  7.2599E-12  4.6463E-12
27-Co- 75    27075.      0.  5.4999E-13  3.5200E-13
27-Co- 76    27076.      0.  2.1500E-14  1.3760E-14
27-Co- 77    27077.      0.  1.6581E-15  1.0612E-15
28-Ni- 66    28066.      0.  6.7799E-10  4.3391E-10
28-Ni- 67    28067.      0.  2.2900E-09  1.4656E-09
28-Ni- 68    28068.      0.  1.1300E-08  7.2319E-09
28-Ni- 69    28069.      0.  3.6700E-08  2.3488E-08
28-Ni- 70    28070.      0.  9.2699E-08  5.9327E-08
28-Ni- 71    28071.      0.  7.4899E-08  4.7935E-08
28-Ni- 72    28072.      0.  8.4999E-08  5.4399E-08
28-Ni- 73    28073.      0.  3.4900E-08  2.2336E-08
28-Ni- 74    28074.      0.  1.3500E-08  8.6399E-09
28-Ni- 75    28075.      0.  2.6400E-09  1.6896E-09
28-Ni- 76    28076.      0.  3.9400E-10  2.5216E-10
28-Ni- 77    28077.      0.  3.4498E-11  2.2079E-11
28-Ni- 78    28078.      0.  2.3800E-12  1.5232E-12
28-Ni- 79    28079.      0.  8.0472E-14  5.1502E-14
28-Ni- 80    28080.      0.  0.0000E+00  0.0000E+00
28-Ni- 82    28082.      0.  0.0000E+00  0.0000E+00
29-Cu- 66    29066.      0.  1.3800E-11  8.8319E-12
29-Cu- 67    29067.      0.  1.5600E-10  9.9839E-11
29-Cu- 68    29068.      0.  4.9699E-10  3.1808E-10
29-Cu- 68-M  29068.      1.  1.1600E-09  7.4239E-10
29-Cu- 69    29069.      0.  1.6600E-08  1.0624E-08
29-Cu- 70    29070.      0.  2.1900E-08  1.4016E-08
29-Cu- 70-M  29070.      1.  6.5799E-08  4.2111E-08
29-Cu- 71    29071.      0.  2.1200E-07  1.3568E-07
29-Cu- 72    29072.      0.  5.2299E-07  3.3472E-07
29-Cu- 73    29073.      0.  7.1099E-07  4.5503E-07
29-Cu- 74    29074.      0.  6.2999E-07  4.0320E-07
29-Cu- 75    29075.      0.  4.4200E-07  2.8288E-07
29-Cu- 76    29076.      0.  1.6600E-07  1.0624E-07
29-Cu- 77    29077.      0.  5.4299E-08  3.4752E-08
29-Cu- 78    29078.      0.  9.7899E-09  6.2655E-09
29-Cu- 79    29079.      0.  1.1299E-09  7.2314E-10
29-Cu- 80    29080.      0.  7.2299E-11  4.6271E-11
29-Cu- 81    29081.      0.  2.8000E-12  1.7920E-12
29-Cu- 82    29082.      0.  3.3600E-14  2.1504E-14
30-Zn- 66    30066.      0.  3.5000E-14  2.2400E-14
30-Zn- 67    30067.      0.  9.9399E-13  6.3615E-13
30-Zn- 68    30068.      0.  3.6500E-11  2.3360E-11
30-Zn- 69    30069.      0.  1.6400E-10  1.0496E-10
30-Zn- 69-M  30069.      1.  7.0099E-10  4.4863E-10
30-Zn- 70    30070.      0.  1.5000E-08  9.5999E-09
30-Zn- 71    30071.      0.  1.4600E-08  9.3439E-09
30-Zn- 71-M  30071.      1.  6.2399E-08  3.9936E-08
30-Zn- 72    30072.      0.  5.8199E-07  3.7248E-07
30-Zn- 73    30073.      0.  1.6500E-06  1.0560E-06
30-Zn- 74    30074.      0.  4.4200E-06  2.8288E-06
30-Zn- 75    30075.      0.  6.8399E-06  4.3775E-06
30-Zn- 76    30076.      0.  8.6199E-06  5.5167E-06
30-Zn- 77    30077.      0.  6.7599E-06  4.3263E-06
30-Zn- 78    30078.      0.  4.3999E-06  2.8160E-06
30-Zn- 79    30079.      0.  1.2900E-06  8.2559E-07
30-Zn- 80    30080.      0.  3.3000E-07  2.1120E-07
30-Zn- 81    30081.      0.  3.5500E-08  2.2720E-08
30-Zn- 82    30082.      0.  1.7500E-09  1.1200E-09
30-Zn- 83    30083.      0.  4.9099E-11  3.1424E-11
30-Zn- 84    30084.      0.  1.0300E-12  6.5919E-13
30-Zn- 85    30085.      0.  2.0367E-14  1.3035E-14
30-Zn- 86    30086.      0.  0.0000E+00  0.0000E+00
31-Ga- 66    31066.      0.  0.0000E+00  0.0000E+00
31-Ga- 67    31067.      0.  0.0000E+00  0.0000E+00
31-Ga- 68    31068.      0.  2.0300E-14  1.2992E-14
31-Ga- 69    31069.      0.  1.7900E-12  1.1456E-12
31-Ga- 70    31070.      0.  7.7699E-11  4.9727E-11
31-Ga- 71    31071.      0.  1.3600E-09  8.7039E-10
31-Ga- 72-M  31072.      1.  1.1950E-08  7.6479E-09
31-Ga- 72    31072.      0.  1.1950E-08  7.6479E-09
31-Ga- 73    31073.      0.  2.2100E-07  1.4144E-07
31-Ga- 74-M  31074.      1.  6.1999E-07  3.9680E-07
31-Ga- 74    31074.      0.  6.1999E-07  3.9680E-07
31-Ga- 75    31075.      0.  5.8299E-06  3.7311E-06
31-Ga- 76    31076.      0.  1.5400E-05  9.8559E-06
31-Ga- 77    31077.      0.  3.7849E-05  2.4224E-05
31-Ga- 78    31078.      0.  5.5119E-05  3.5276E-05
31-Ga- 79    31079.      0.  5.4929E-05  3.5155E-05
31-Ga- 80    31080.      0.  3.6260E-05  2.3206E-05
31-Ga- 81    31081.      0.  1.5110E-05  9.6703E-06
31-Ga- 82    31082.      0.  2.0200E-06  1.2928E-06
31-Ga- 83    31083.      0.  2.2900E-07  1.4656E-07
31-Ga- 84    31084.      0.  1.3500E-08  8.6399E-09
31-Ga- 85    31085.      0.  2.8598E-10  1.8302E-10
31-Ga- 86    31086.      0.  1.1800E-11  7.5519E-12
31-Ga- 87    31087.      0.  4.4888E-13  2.8728E-13
32-Ge- 66    32066.      0.  0.0000E+00  0.0000E+00
