PRODUCT      ZAFP     FPS           Y          DY
----------- ------- ------- ----------- -----------
24-Cr- 66    24066.      0.  0.0000E+00  0.0000E+00
24-Cr- 67    24067.      0.  0.0000E+00  0.0000E+00
24-Cr- 68    24068.      0.  0.0000E+00  0.0000E+00
24-Cr- 70    24070.      0.  0.0000E+00  0.0000E+00
25-Mn- 66    25066.      0.  6.9700E-13  4.4608E-13
25-Mn- 67    25067.      0.  1.3500E-13  8.6400E-14
25-Mn- 68    25068.      0.  1.0100E-14  6.4640E-15
25-Mn- 69    25069.      0.  0.0000E+00  0.0000E+00
25-Mn- 70    25070.      0.  0.0000E+00  0.0000E+00
25-Mn- 71    25071.      0.  0.0000E+00  0.0000E+00
26-Fe- 66    26066.      0.  2.5700E-10  1.6448E-10
26-Fe- 67    26067.      0.  1.1300E-10  7.2320E-11
26-Fe- 68    26068.      0.  6.0800E-11  3.8912E-11
26-Fe- 69    26069.      0.  1.2300E-11  7.8720E-12
26-Fe- 70    26070.      0.  1.7400E-12  1.1136E-12
26-Fe- 71    26071.      0.  9.6700E-14  6.1888E-14
26-Fe- 72    26072.      0.  0.0000E+00  0.0000E+00
26-Fe- 73    26073.      0.  0.0000E+00  0.0000E+00
26-Fe- 74    26074.      0.  0.0000E+00  0.0000E+00
26-Fe- 76    26076.      0.  0.0000E+00  0.0000E+00
27-Co- 66    27066.      0.  3.2300E-10  2.0672E-10
27-Co- 67    27067.      0.  8.1200E-10  5.1968E-10
27-Co- 68    27068.      0.  8.9500E-10  5.7280E-10
27-Co- 69    27069.      0.  1.2400E-09  7.9360E-10
27-Co- 70    27070.      0.  4.0900E-10  2.6176E-10
27-Co- 71    27071.      0.  1.7100E-10  1.0944E-10
27-Co- 72    27072.      0.  2.9000E-11  1.8560E-11
27-Co- 73    27073.      0.  2.1900E-12  1.4016E-12
27-Co- 74    27074.      0.  7.1200E-14  4.5568E-14
27-Co- 75    27075.      0.  0.0000E+00  0.0000E+00
27-Co- 76    27076.      0.  0.0000E+00  0.0000E+00
27-Co- 77    27077.      0.  5.3512E-18  3.4248E-18
28-Ni- 66    28066.      0.  2.7100E-10  1.7344E-10
28-Ni- 67    28067.      0.  1.2100E-09  7.7440E-10
28-Ni- 68    28068.      0.  7.0200E-09  4.4928E-09
28-Ni- 69    28069.      0.  1.8300E-08  1.1712E-08
28-Ni- 70    28070.      0.  3.5700E-08  2.2848E-08
28-Ni- 71    28071.      0.  3.2800E-08  2.0992E-08
28-Ni- 72    28072.      0.  3.9400E-08  2.5216E-08
28-Ni- 73    28073.      0.  7.0500E-09  4.5120E-09
28-Ni- 74    28074.      0.  1.7400E-09  1.1136E-09
28-Ni- 75    28075.      0.  2.3900E-10  1.5296E-10
28-Ni- 76    28076.      0.  2.6700E-11  1.7088E-11
28-Ni- 77    28077.      0.  1.3000E-12  8.3200E-13
28-Ni- 78    28078.      0.  3.6900E-14  2.3616E-14
28-Ni- 79    28079.      0.  3.5115E-15  2.2474E-15
28-Ni- 80    28080.      0.  0.0000E+00  0.0000E+00
28-Ni- 82    28082.      0.  0.0000E+00  0.0000E+00
29-Cu- 66    29066.      0.  7.7600E-13  4.9664E-13
29-Cu- 67    29067.      0.  2.2300E-11  1.4272E-11
29-Cu- 68    29068.      0.  7.6800E-11  4.9152E-11
29-Cu- 68-M  29068.      1.  1.7900E-10  1.1456E-10
29-Cu- 69    29069.      0.  3.8000E-09  2.4320E-09
29-Cu- 70    29070.      0.  3.2400E-09  2.0736E-09
29-Cu- 70-M  29070.      1.  9.7100E-09  6.2144E-09
29-Cu- 71    29071.      0.  6.5400E-08  4.1856E-08
29-Cu- 72    29072.      0.  1.5300E-07  9.7920E-08
29-Cu- 73    29073.      0.  1.6800E-07  1.0752E-07
29-Cu- 74    29074.      0.  9.4700E-08  6.0608E-08
29-Cu- 75    29075.      0.  9.4200E-08  6.0288E-08
29-Cu- 76    29076.      0.  2.5300E-08  1.6192E-08
29-Cu- 77    29077.      0.  9.4300E-09  6.0352E-09
29-Cu- 78    29078.      0.  6.7200E-10  4.3008E-10
29-Cu- 79    29079.      0.  3.7600E-10  2.4064E-10
29-Cu- 80    29080.      0.  9.8900E-12  6.3296E-12
29-Cu- 81    29081.      0.  2.0200E-13  1.2928E-13
29-Cu- 82    29082.      0.  0.0000E+00  0.0000E+00
30-Zn- 66    30066.      0.  0.0000E+00  0.0000E+00
30-Zn- 67    30067.      0.  5.0200E-14  3.2128E-14
30-Zn- 68    30068.      0.  4.0400E-12  2.5856E-12
30-Zn- 69    30069.      0.  2.6100E-11  1.6704E-11
30-Zn- 69-M  30069.      1.  1.1100E-10  7.1040E-11
30-Zn- 70    30070.      0.  2.9100E-09  1.8624E-09
30-Zn- 71    30071.      0.  5.4900E-09  3.5136E-09
30-Zn- 71-M  30071.      1.  2.3400E-08  1.4976E-08
30-Zn- 72    30072.      0.  3.7300E-07  2.3872E-07
30-Zn- 73    30073.      0.  7.1800E-07  4.5952E-07
30-Zn- 74    30074.      0.  2.2800E-06  1.4592E-06
30-Zn- 75    30075.      0.  4.5900E-06  2.9376E-06
30-Zn- 76    30076.      0.  7.8600E-06  5.0304E-06
30-Zn- 77    30077.      0.  6.8700E-06  4.3968E-06
30-Zn- 78    30078.      0.  3.4800E-06  2.2272E-06
30-Zn- 79    30079.      0.  4.7400E-06  3.0336E-06
30-Zn- 80    30080.      0.  9.3100E-07  5.9584E-07
30-Zn- 81    30081.      0.  4.7800E-08  3.0592E-08
30-Zn- 82    30082.      0.  1.2800E-09  8.1920E-10
30-Zn- 83    30083.      0.  8.5500E-12  5.4720E-12
30-Zn- 84    30084.      0.  4.9600E-14  3.1744E-14
30-Zn- 85    30085.      0.  8.7975E-16  5.6304E-16
30-Zn- 86    30086.      0.  0.0000E+00  0.0000E+00
31-Ga- 66    31066.      0.  0.0000E+00  0.0000E+00
31-Ga- 67    31067.      0.  0.0000E+00  0.0000E+00
31-Ga- 68    31068.      0.  0.0000E+00  0.0000E+00
31-Ga- 69    31069.      0.  3.6500E-14  2.3360E-14
31-Ga- 70    31070.      0.  1.8400E-12  1.1776E-12
31-Ga- 71    31071.      0.  1.3000E-10  8.3200E-11
31-Ga- 72-M  31072.      1.  1.8550E-09  1.1872E-09
31-Ga- 72    31072.      0.  1.8550E-09  1.1872E-09
31-Ga- 73    31073.      0.  4.2700E-08  2.7328E-08
31-Ga- 74-M  31074.      1.  1.2850E-07  8.2240E-08
31-Ga- 74    31074.      0.  1.2850E-07  8.2240E-08
31-Ga- 75    31075.      0.  2.8100E-06  1.7984E-06
31-Ga- 76    31076.      0.  8.5100E-06  5.4464E-06
31-Ga- 77    31077.      0.  4.3430E-05  2.7795E-05
31-Ga- 78    31078.      0.  4.4860E-05  2.8710E-05
31-Ga- 79    31079.      0.  4.0211E-04  2.5735E-04
31-Ga- 80    31080.      0.  1.8272E-04  1.1694E-04
31-Ga- 81    31081.      0.  6.7610E-05  4.3270E-05
31-Ga- 82    31082.      0.  4.4400E-06  2.8416E-06
31-Ga- 83    31083.      0.  2.3200E-07  1.4848E-07
31-Ga- 84    31084.      0.  3.4000E-09  2.1760E-09
31-Ga- 85    31085.      0.  9.4199E-11  6.0287E-11
31-Ga- 86    31086.      0.  5.7600E-13  3.6864E-13
31-Ga- 87    31087.      0.  1.1032E-14  7.0603E-15
32-Ge- 66    32066.      0.  0.0000E+00  0.0000E+00
32-Ge- 67    32067.      0.  0.0000E+00  0.0000E+00
32-Ge- 68    32068.      0.  0.0000E+00  0.0000E+00
32-Ge- 69    32069.      0.  0.0000E+00  0.0000E+00
