Neutron energy =  2.5300E-02

PRODUCT      ZAFP     FPS           Y          DY
----------- ------- ------- ----------- -----------
23-V - 66    23066.      0.  5.1718E-19  3.3099E-19
24-Cr- 66    24066.      0.  2.4499E-14  1.5679E-14
24-Cr- 67    24067.      0.  0.0000E+00  0.0000E+00
24-Cr- 68    24068.      0.  0.0000E+00  0.0000E+00
24-Cr- 69    24069.      0.  1.0181E-17  6.5156E-18
24-Cr- 70    24070.      0.  0.0000E+00  0.0000E+00
25-Mn- 66    25066.      0.  9.6698E-12  6.1886E-12
25-Mn- 67    25067.      0.  5.5799E-12  3.5711E-12
25-Mn- 68    25068.      0.  9.3898E-13  6.0095E-13
25-Mn- 69    25069.      0.  1.5899E-13  1.0175E-13
25-Mn- 70    25070.      0.  1.5700E-14  1.0048E-14
25-Mn- 71    25071.      0.  0.0000E+00  0.0000E+00
25-Mn- 72    25072.      0.  8.2115E-17  5.2554E-17
26-Fe- 66    26066.      0.  8.1598E-10  5.2223E-10
26-Fe- 67    26067.      0.  1.0400E-09  6.6558E-10
26-Fe- 68    26068.      0.  7.4098E-10  4.7423E-10
26-Fe- 69    26069.      0.  2.8299E-10  1.8111E-10
26-Fe- 70    26070.      0.  1.2400E-10  7.9358E-11
26-Fe- 71    26071.      0.  3.2599E-11  2.0864E-11
26-Fe- 72    26072.      0.  3.8898E-12  2.4895E-12
26-Fe- 73    26073.      0.  2.2199E-13  1.4208E-13
26-Fe- 74    26074.      0.  0.0000E+00  0.0000E+00
26-Fe- 75    26075.      0.  6.9791E-16  4.4666E-16
26-Fe- 76    26076.      0.  0.0000E+00  0.0000E+00
27-Co- 66    27066.      0.  1.1400E-09  7.2958E-10
27-Co- 67    27067.      0.  5.2699E-09  3.3727E-09
27-Co- 68    27068.      0.  7.6998E-09  4.9279E-09
27-Co- 69    27069.      0.  1.1400E-08  7.2958E-09
27-Co- 70    27070.      0.  1.1200E-08  7.1678E-09
27-Co- 71    27071.      0.  1.2600E-08  8.0638E-09
27-Co- 72    27072.      0.  3.5199E-09  2.2527E-09
27-Co- 73    27073.      0.  8.9498E-10  5.7279E-10
