Neutron energy =  5.0000E+05

PRODUCT      ZAFP     FPS           Y          DY
----------- ------- ------- ----------- -----------
23-V - 66    23066.      0.  1.8706E-17  1.1972E-17
23-V - 67    23067.      0.  2.0233E-18  1.2949E-18
24-Cr- 66    24066.      0.  6.2501E-13  4.0001E-13
24-Cr- 67    24067.      0.  6.7601E-14  4.3265E-14
24-Cr- 68    24068.      0.  0.0000E+00  0.0000E+00
24-Cr- 69    24069.      0.  4.3997E-17  2.8158E-17
24-Cr- 70    24070.      0.  0.0000E+00  0.0000E+00
25-Mn- 66    25066.      0.  1.3401E-10  8.5764E-11
25-Mn- 67    25067.      0.  5.9603E-11  3.8146E-11
25-Mn- 68    25068.      0.  1.0001E-11  6.4003E-12
25-Mn- 69    25069.      0.  1.4700E-12  9.4082E-13
25-Mn- 70    25070.      0.  9.7305E-14  6.2275E-14
25-Mn- 71    25071.      0.  0.0000E+00  0.0000E+00
25-Mn- 72    25072.      0.  4.0406E-16  2.5860E-16
25-Mn- 73    25073.      0.  3.5617E-17  2.2795E-17
26-Fe- 66    26066.      0.  4.3802E-09  2.8033E-09
26-Fe- 67    26067.      0.  4.7502E-09  3.0401E-09
26-Fe- 68    26068.      0.  3.1001E-09  1.9841E-09
26-Fe- 69    26069.      0.  1.2001E-09  7.6804E-10
26-Fe- 70    26070.      0.  3.4002E-10  2.1761E-10
26-Fe- 71    26071.      0.  6.8103E-11  4.3586E-11
26-Fe- 72    26072.      0.  1.3500E-11  8.6402E-12
26-Fe- 73    26073.      0.  1.1900E-12  7.6162E-13
26-Fe- 74    26074.      0.  8.9705E-14  5.7411E-14
26-Fe- 75    26075.      0.  2.1400E-15  1.3696E-15
26-Fe- 76    26076.      0.  0.0000E+00  0.0000E+00
27-Co- 66    27066.      0.  3.2502E-09  2.0801E-09
27-Co- 67    27067.      0.  1.1601E-08  7.4244E-09
27-Co- 68    27068.      0.  1.7101E-08  1.0945E-08
27-Co- 69    27069.      0.  2.3801E-08  1.5233E-08
27-Co- 70    27070.      0.  1.7301E-08  1.1073E-08
27-Co- 71    27071.      0.  1.3701E-08  8.7684E-09
27-Co- 72    27072.      0.  7.4804E-09  4.7874E-09
27-Co- 73    27073.      0.  2.9201E-09  1.8689E-09
27-Co- 74    27074.      0.  6.3203E-10  4.0450E-10
27-Co- 75    27075.      0.  7.1501E-11  4.5761E-11
27-Co- 76    27076.      0.  4.1202E-12  2.6369E-12
27-Co- 77    27077.      0.  1.2212E-13  7.8154E-14
27-Co- 78    27078.      0.  5.2079E-15  3.3330E-15
28-Ni- 66    28066.      0.  5.3103E-10  3.3986E-10
28-Ni- 67    28067.      0.  4.2802E-09  2.7393E-09
28-Ni- 68    28068.      0.  2.0801E-08  1.3313E-08
28-Ni- 69    28069.      0.  6.2203E-08  3.9810E-08
28-Ni- 70    28070.      0.  1.5401E-07  9.8565E-08
28-Ni- 71    28071.      0.  2.8001E-07  1.7921E-07
28-Ni- 72    28072.      0.  5.8003E-07  3.7122E-07
28-Ni- 73    28073.      0.  6.1003E-07  3.9042E-07
28-Ni- 74    28074.      0.  5.4603E-07  3.4946E-07
