,NU isomer,Decay Chain,Branch index,Branch Ratio,Decay Constant,Decay Mode,Missing isomers,Branch Ratio Uncert,Decay constants Uncert
0,270660000.0,"[[280660000, 280650000], [290660000, 290650000], [300660000], []]","[['0', '1'], ['00', '10'], ['000'], []]","[[100.0, 0.0], [100.0, 100.0], [100.0], []]","[[3.526389807488529e-06, 7.648098649011865e-05], [0.0022563384783852386, 0], [0]]","[['b-', 'b-n'], ['b-', 'b-'], ['b-'], []]",[],"[[0.0, 0.0], [0.0, 0.0], [0.0], []]","[[1.9375768173013897e-08, 1.5189868220480367e-08], [6.1696755268346366e-06, 0], [0]]"
1,250660000.0,"[[260660000, 260650000, 260640000], [270660000, 270650000, 270640000, 270640000], [280660000, 280650000, 280640000, 280640000], [290660000, 290650000], [300660000], []]","[['0', '1', '2'], ['00', '10', '11', '20'], ['000', '100', '110', '200'], ['0000', '1000'], ['00000'], []]","[[100.0, 8.4, 0.2], [100.0, 100.0, 7.9, 100.0], [100.0, 100.0, 100.0, 100.0], [100.0, 100.0], [100.0], []]","[[1.9747782921935761, 0.8557372599505497, 0.34657359027997264], [3.5729236111337386, 0.5975406728965046, 2.3104906018664844, 2.3104906018664844], [3.526389807488529e-06, 7.648098649011865e-05, 0, 0], [0.0022563384783852386, 0], [0]]","[['b-', 'b-n', 'b-2n'], ['b-', 'b-', 'b-n', 'b-'], ['b-', 'b-', 'b-', 'b-'], ['b-', 'b-'], ['b-'], []]",[],"[[0.0, 9.0, 0.0], [0.0, 0.0, 12.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0], [0.0], []]","[[0.03375689388365087, 0.0528232876512685, 0.03465735902799726], [0.313091244274606, 0.01545363809215098, 0.23104906018664845, 0.23104906018664845], [1.9375768173013897e-08, 1.5189868220480367e-08, 0, 0], [6.1696755268346366e-06, 0], [0]]"
2,240660000.0,"[[250660000, 250650000, 250640000], [260660000, 260650000, 260640000, 260650000, 260640000, 260640000, 260630000], [270660000, 270650000, 270640000, 270640000, 270650000, 270640000, 270640000, 270640000, 270630000], [280660000, 280650000, 280640000, 280640000, 280650000, 280640000, 280640000, 280640000, 280630000], [290660000, 290650000, 290650000, 290630000], [300660000], []]","[['0', '1', '2'], ['00', '01', '02', '10', '11', '20', '21'], ['000', '010', '011', '020', '100', '101', '110', '200', '210'], ['0000', '0100', '0110', '0200', '1000', '1010', '1100', '2000', '2100'], ['00000', '01000', '10000', '21000'], ['000000'], []]","[[100.0, 7.0, 0.0], [100.0, 8.4, 0.2, 100.0, 7.0, 100.0, 33.0], [100.0, 100.0, 7.9, 100.0, 100.0, 7.9, 100.0, 100.0, 100.0], [100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0], [100.0, 100.0, 100.0, 100.0], [100.0], []]","[[10.79668505545086, 7.5424067525565315, 7.8057114927921765], [1.9747782921935761, 0.8557372599505497, 0.34657359027997264, 0.8557372599505497, 0.34657359027997264, 0.34657359027997264, 0.11363068533769595], [3.5729236111337386, 0.5975406728965046, 2.3104906018664844, 2.3104906018664844, 0.5975406728965046, 2.3104906018664844, 2.3104906018664844, 2.3104906018664844, 0.025767553180667112], [3.526389807488529e-06, 7.648098649011865e-05, 0, 0, 7.648098649011865e-05, 0, 0, 0, 2.1718925800087725e-10], [0.0022563384783852386, 0, 0, 0], [0]]","[['b-', 'b-n', 'b-2n'], ['b-', 'b-n', 'b-2n', 'b-', 'b-n', 'b-', 'b-n'], ['b-', 'b-', 'b-n', 'b-', 'b-', 'b-n', 'b-', 'b-', 'b-'], ['b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-'], ['b-', 'b-', 'b-', 'b-'], ['b-'], []]",[],"[[0.0, 0.0, 0.0], [0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 2.0], [0.0, 0.0, 12.0, 0.0, 0.0, 12.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0], []]","[[0.13453813153209793, 0.057450323468874555, 0.21096517548086963], [0.03375689388365087, 0.0528232876512685, 0.03465735902799726, 0.0528232876512685, 0.03465735902799726, 0.03465735902799726, 0.011176788721740586], [0.313091244274606, 0.01545363809215098, 0.23104906018664845, 0.23104906018664845, 0.01545363809215098, 0.23104906018664845, 0.23104906018664845, 0.23104906018664845, 0.0003831606420917043], [1.9375768173013897e-08, 1.5189868220480367e-08, 0, 0, 1.5189868220480367e-08, 0, 0, 0, 3.21920836957822e-12], [6.1696755268346366e-06, 0, 0, 0], [0]]"
3,280660000.0,"[[290660000], [300660000], []]","[['0'], ['00'], []]","[[100.0], [100.0], []]","[[0.0022563384783852386], [0]]","[['b-'], ['b-'], []]",[],"[[0.0], [0.0], []]","[[6.1696755268346366e-06], [0]]"
4,230660000.0,"[[240660000, 240650000, 240640000], [250660000, 250650000, 250650000, 250640000, 250630000, 250640000, 250630000], [260660000, 260650000, 260640000, 260650000, 260640000, 260650000, 260640000, 260640000, 260630000, 260630000, 260620000, 260640000, 260630000, 260630000, 260620000], [270660000, 270650000, 270640000, 270640000, 270650000, 270640000, 270640000, 270650000, 270640000, 270640000, 270640000, 270630000, 270630000, 270620000, 270640000, 270630000, 270630000, 270620000], [280660000, 280650000, 280640000, 280640000, 280650000, 280640000, 280640000, 280650000, 280640000, 280640000, 280640000, 280630000, 280630000, 280620000, 280640000, 280630000, 280630000, 280620000], [290660000, 290650000, 290650000, 290650000, 290630000, 290630000, 290630000, 290630000], [300660000], []]","[['0', '1', '2'], ['00', '01', '10', '11', '12', '20', '21'], ['000', '001', '002', '010', '011', '100', '101', '110', '111', '120', '121', '200', '201', '210', '211'], ['0000', '0010', '0011', '0020', '0100', '0101', '0110', '1000', '1001', '1010', '1100', '1110', '1200', '1210', '2000', '2010', '2100', '2110'], ['00000', '00100', '00110', '00200', '01000', '01010', '01100', '10000', '10010', '10100', '11000', '11100', '12000', '12100', '20000', '20100', '21000', '21100'], ['000000', '001000', '010000', '100000', '111000', '120000', '201000', '210000'], ['0000000'], []]","[[40.0, 20.0, 40.0], [100.0, 7.0, 100.0, 5.0, 0.3, 100.0, 2.0], [100.0, 8.4, 0.2, 100.0, 7.0, 100.0, 7.0, 100.0, 33.0, 100.0, 0.2, 100.0, 33.0, 100.0, 0.2], [100.0, 100.0, 7.9, 100.0, 100.0, 7.9, 100.0, 100.0, 7.9, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0], [100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0], [100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0], [100.0], []]","[[29.123831115964087, 25.205352020361648, 16.1197018734871], [10.79668505545086, 7.5424067525565315, 7.5424067525565315, 7.8057114927921765, 2.5205352020361644, 7.8057114927921765, 2.5205352020361644], [1.9747782921935761, 0.8557372599505497, 0.34657359027997264, 0.8557372599505497, 0.34657359027997264, 0.8557372599505497, 0.34657359027997264, 0.34657359027997264, 0.11363068533769595, 0.11363068533769595, 0.01019334089058743, 0.34657359027997264, 0.11363068533769595, 0.11363068533769595, 0.01019334089058743], [3.5729236111337386, 0.5975406728965046, 2.3104906018664844, 2.3104906018664844, 0.5975406728965046, 2.3104906018664844, 2.3104906018664844, 0.5975406728965046, 2.3104906018664844, 2.3104906018664844, 2.3104906018664844, 0.025767553180667112, 0.025767553180667112, 0.007501592863202871, 2.3104906018664844, 0.025767553180667112, 0.025767553180667112, 0.007501592863202871], [3.526389807488529e-06, 7.648098649011865e-05, 0, 0, 7.648098649011865e-05, 0, 0, 7.648098649011865e-05, 0, 0, 0, 2.1718925800087725e-10, 2.1718925800087725e-10, 0, 0, 2.1718925800087725e-10, 2.1718925800087725e-10, 0], [0.0022563384783852386, 0, 0, 0, 0, 0, 0, 0], [0]]","[['b-', 'b-n', 'b-2n'], ['b-', 'b-n', 'b-', 'b-n', 'b-2n', 'b-', 'b-n'], ['b-', 'b-n', 'b-2n', 'b-', 'b-n', 'b-', 'b-n', 'b-', 'b-n', 'b-', 'b-n', 'b-', 'b-n', 'b-', 'b-n'], ['b-', 'b-', 'b-n', 'b-', 'b-', 'b-n', 'b-', 'b-', 'b-n', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-'], ['b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-'], ['b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-', 'b-'], ['b-'], []]",[],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0], [0.0, 0.0, 12.0, 0.0, 0.0, 12.0, 0.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0], []]","[[2.202642689442662, 1.9247723361003442, 0.3748767877555139], [0.13453813153209793, 0.057450323468874555, 0.057450323468874555, 0.21096517548086963, 0.03666233021143512, 0.21096517548086963, 0.03666233021143512], [0.03375689388365087, 0.0528232876512685, 0.03465735902799726, 0.0528232876512685, 0.03465735902799726, 0.0528232876512685, 0.03465735902799726, 0.03465735902799726, 0.011176788721740586, 0.011176788721740586, 0.00029980414384080676, 0.03465735902799726, 0.011176788721740586, 0.011176788721740586, 0.00029980414384080676], [0.313091244274606, 0.01545363809215098, 0.23104906018664845, 0.23104906018664845, 0.01545363809215098, 0.23104906018664845, 0.23104906018664845, 0.01545363809215098, 0.23104906018664845, 0.23104906018664845, 0.23104906018664845, 0.0003831606420917043, 0.0003831606420917043, 0.00048711641968849804, 0.23104906018664845, 0.0003831606420917043, 0.0003831606420917043, 0.00048711641968849804], [1.9375768173013897e-08, 1.5189868220480367e-08, 0, 0, 1.5189868220480367e-08, 0, 0, 1.5189868220480367e-08, 0, 0, 0, 3.21920836957822e-12, 3.21920836957822e-12, 0, 0, 3.21920836957822e-12, 3.21920836957822e-12, 0], [6.1696755268346366e-06, 0, 0, 0, 0, 0, 0, 0], [0]]"
5,260660000.0,"[[270660000, 270650000], [280660000, 280650000], [290660000, 290650000], [300660000], []]","[['0', '1'], ['00', '10'], ['000', '100'], ['0000'], []]","[[100.0, 0.0], [100.0, 100.0], [100.0, 100.0], [100.0], []]","[[3.5729236111337386, 0.5975406728965046], [3.526389807488529e-06, 7.648098649011865e-05], [0.0022563384783852386, 0], [0]]","[['b-', 'b-n'], ['b-', 'b-'], ['b-', 'b-'], ['b-'], []]",[],"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0], []]","[[0.313091244274606, 0.01545363809215098], [1.9375768173013897e-08, 1.5189868220480367e-08], [6.1696755268346366e-06, 0], [0]]"
6,290660000.0,"[[300660000], []]","[['0'], []]","[[100.0], []]",[[0]],"[['b-'], []]",[],"[[0.0], []]",[[0]]
7,250670000.0,"[[260670000, 260660000, 260650000], [270670000, 270660000, 270660000, 270650000, 270640000], [280670000, 280660000, 280660000, 280660000, 280650000, 280640000], [290670000, 290660000, 290660000, 290660000, 290650000], [300670000, 300660000, 300660000, 300660000], []]","[['0', '1', '2'], ['00', '01', '10', '20', '21'], ['000', '001', '010', '100', '200', '210'], ['0000', '0010', '0100', '1000', '2000'], ['00000', '00100', '01000', '10000'], []]","[[100.0, 10.0, 0.01], [100.0, 1.0, 100.0, 100.0, 7.9], [100.0, 0.04, 100.0, 100.0, 100.0, 100.0], [100.0, 100.0, 100.0, 100.0, 100.0], [100.0, 100.0, 100.0, 100.0], []]","[[1.7592568034516376, 1.9747782921935761, 0.8557372599505497], [2.106830336048466, 3.5729236111337386, 3.5729236111337386, 0.5975406728965046, 2.3104906018664844], [0.033007008598092635, 3.526389807488529e-06, 3.526389807488529e-06, 3.526389807488529e-06, 7.648098649011865e-05, 0], [3.1140366082625535e-06, 0.0022563384783852386, 0.0022563384783852386, 0.0022563384783852386, 0], [0, 0, 0, 0]]","[['b-', 'b-n', 'b-2n'], ['b-', 'b-n', 'b-', 'b-', 'b-n'], ['b-', 'b-n', 'b-', 'b-', 'b-', 'b-'], ['b-', 'b-', 'b-', 'b-', 'b-'], ['b-', 'b-', 'b-', 'b-'], []]",[],"[[0.0, 5.0, 0.0], [0.0, 0.0, 0.0, 0.0, 12.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], []]","[[0.04018606911437751, 0.03375689388365087, 0.0528232876512685], [0.17930470945093327, 0.313091244274606, 0.313091244274606, 0.01545363809215098, 0.23104906018664845], [0.0015717623141948873, 1.9375768173013897e-08, 1.9375768173013897e-08, 1.9375768173013897e-08, 1.5189868220480367e-08, 0], [6.043739171785645e-09, 6.1696755268346366e-06, 6.1696755268346366e-06, 6.1696755268346366e-06, 0], [0, 0, 0, 0]]"
8,290670000.0,"[[300670000], []]","[['0'], []]","[[100.0], []]",[[0]],"[['b-'], []]",[],"[[0.0], []]",[[0]]
9,270670000.0,"[[280670000, 280660000], [290670000, 290660000], [300670000, 300660000], []]","[['0', '1'], ['00', '10'], ['000', '100'], []]","[[100.0, 0.04], [100.0, 100.0], [100.0, 100.0], []]","[[0.033007008598092635, 3.526389807488529e-06], [3.1140366082625535e-06, 0.0022563384783852386], [0, 0]]","[['b-', 'b-n'], ['b-', 'b-'], ['b-', 'b-'], []]",[],"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], []]","[[0.0015717623141948873, 1.9375768173013897e-08], [6.043739171785645e-09, 6.1696755268346366e-06], [0, 0]]"
