,NU isomer,Yield,Yield uncertainty,Energy level,Decay Constant,Daughters,Branch Ratios,Decay modes
0,270660000.0,2.8098e-10,1.7982700000000001e-10,0.0,3.5729236111337386,"[280660000, 280650000]","[100.0, 0.0]","['b-', 'b-n']"
1,250660000.0,7.19949e-12,4.60767e-12,0.0,10.79668505545086,"[260660000, 260650000, 260640000]","[100.0, 8.4, 0.2]","['b-', 'b-n', 'b-2n']"
2,240660000.0,2.40981e-14,1.5422799999999997e-14,0.0,29.123831115964087,"[250660000, 250650000, 250640000]","[100.0, 7.0, 0.0]","['b-', 'b-n', 'b-2n']"
3,280660000.0,5.779600000000001e-11,3.6989000000000004e-11,0.0,3.526389807488529e-06,[290660000],[100.0],['b-']
4,230660000.0,2.05032e-19,1.3121999999999998e-19,0.0,138.62943611198907,"[240660000, 240650000, 240640000]","[40.0, 20.0, 40.0]","['b-', 'b-n', 'b-2n']"
5,260660000.0,3.7597000000000005e-10,2.4062e-10,0.0,1.9747782921935761,"[270660000, 270650000]","[100.0, 0.0]","['b-', 'b-n']"
6,290660000.0,1.4299e-13,9.151399999999999e-14,0.0,0.0022563384783852386,[300660000],[100.0],['b-']
7,250670000.0,5.37962e-12,3.4429599999999997e-12,0.0,14.842552046251503,"[260670000, 260660000, 260650000]","[100.0, 10.0, 0.01]","['b-', 'b-n', 'b-2n']"
8,290670000.0,9.679319999999999e-12,6.19476e-12,0.0,3.1140366082625535e-06,[300670000],[100.0],['b-']
9,270670000.0,1.9999e-09,1.2799000000000003e-09,0.0,2.106830336048466,"[280670000, 280660000]","[100.0, 0.04]","['b-', 'b-n']"
10,280670000.0,9.03936e-10,5.78519e-10,0.0,0.033007008598092635,[290670000],[100.0],['b-']
11,260670000.0,6.869510000000001e-10,4.39649e-10,0.0,1.7592568034516376,"[270670000, 270660000]","[100.0, 1.0]","['b-', 'b-n']"
12,280680000.0,4.1897e-09,2.6814099999999997e-09,0.0,0.02390162691586018,[290680000],[100.0],['b-']
13,250680000.0,6.6595e-13,4.2621000000000006e-13,0.0,20.5681655952506,"[260680000, 260670000, 260660000]","[100.0, 10.0, 2.0]","['b-', 'b-n', 'b-2n']"
14,260680000.0,3.9197199999999996e-10,2.50862e-10,0.0,3.6869530880848154,"[270680000, 270670000]","[100.0, 0.0]","['b-', 'b-n']"
15,300680000.0,4.73967e-13,3.03339e-13,0.0,0.0,[],[],[]
16,290680001.0,7.359499999999999e-11,4.7101000000000006e-11,1.0,0.003080654135821979,"[290680000, 300680000]","[86.0, 14.0]","['it', 'b-']"
17,290680000.0,3.14978e-11,2.01586e-11,0.0,0.02243194759093674,[300680000],[100.0],['b-']
18,270680000.0,2.46983e-09,1.58069e-09,0.0,3.465735902799726,"[280680000, 280670000]","[100.0, 1.0]","['b-', 'b-n']"
19,260690000.0,1.2199e-10,7.8075e-11,0.0,6.406166178927405,"[270690000, 270680000, 270670000]","[100.0, 7.0, 0.0]","['b-', 'b-n', 'b-2n']"
20,250690000.0,8.02922e-14,5.1387e-14,0.0,31.364125817192093,"[260690000, 260680000, 260670000]","[100.0, 50.0, 0.4]","['b-', 'b-n', 'b-2n']"
21,290690000.0,1.1399200000000001e-09,7.29548e-10,0.0,0.004053492283976288,[300690000],[100.0],['b-']
22,280690000.0,1.1198999999999998e-08,7.1675e-09,0.0,0.06080238425964432,[290690000],[100.0],['b-']
23,240690000.0,2.10819e-18,1.34924e-18,0.0,346.5735902799726,"[250690000, 250680000, 250670000]","[74.0, 20.0, 6.0]","['b-', 'b-n', 'b-2n']"
24,300690001.0,1.0599000000000002e-11,6.7835e-12,1.0,1.3996865621465084e-05,"[300690000, 310690000]","[100.0, 0.033]","['it', 'b-']"
25,300690000.0,2.4798200000000002e-12,1.58709e-12,0.0,0.00020483072711582307,[310690000],[100.0],['b-']
26,270690000.0,3.24977e-09,2.07985e-09,0.0,3.850817669777474,"[280690000, 280680000]","[100.0, 1.0]","['b-', 'b-n']"
27,300700000.0,3.02979e-10,1.9390599999999997e-10,0.0,0.0,[],[100],['2b-']
28,310700000.0,1.4699000000000001e-13,9.407339999999999e-14,0.0,0.0005464736522863018,"[320700000, 300700000]","[100.0, 0.41]","['b-', 'ec']"
29,260700000.0,3.23977e-11,2.07345e-11,0.0,11.00233619936421,"[270700000, 270690000]","[100.0, 10.0]","['b-', 'b-n']"
30,270700000.0,2.0899e-09,1.3375e-09,0.0,6.188814112142368,"[280700000, 280690000, 280680000]","[100.0, 3.0, 0.0]","['b-', 'b-n', 'b-2n']"
31,290700000.0,1.4898900000000001e-09,9.53533e-10,0.0,0.015576341136178546,[300700000],[100.0],['b-']
32,290700001.0,4.459699999999999e-09,2.8542e-09,1.0,0.02100446001696804,"[300700000, 290700000]","[52.0, 48.0]","['b-', 'it']"
33,280700000.0,2.7798e-08,1.77907e-08,0.0,0.11552453009332421,[290700000],[100.0],['b-']
34,300710001.0,3.2898e-09,2.1055e-09,1.0,4.667657781548453e-05,"[310710000, 300710000]","[100.0, 0.05]","['b-', 'it']"
35,260710000.0,4.91965e-12,3.14858e-12,0.0,20.5681655952506,"[270710000, 270700000, 270690000]","[100.0, 10.0, 0.3]","['b-', 'b-n', 'b-2n']"
36,310710000.0,9.3893e-12,6.0092e-12,0.0,0.0,[],[],[]
37,270710000.0,1.4799e-09,9.47133e-10,0.0,8.664339756999317,"[280710000, 280700000]","[100.0, 3.0]","['b-', 'b-n']"
38,290710000.0,3.4797500000000004e-08,2.2270400000000002e-08,0.0,0.03572923611133739,[300710000],[100.0],['b-']
39,300710000.0,7.70946e-10,4.934049999999999e-10,0.0,0.004715286942584662,[310710000],[100.0],['b-']
40,280710000.0,4.34969e-08,2.7837999999999998e-08,0.0,0.27076061740622864,[290710000],[100.0],['b-']
41,260720000.0,7.1494e-13,4.5756e-13,0.0,36.481430555786595,"[270720000, 270710000, 270700000]","[90.0, 10.0, 0.0]","['b-', 'b-n', 'b-2n']"
42,320720000.0,3.6396999999999996e-13,2.3294e-13,0.0,0.0,[],[],[]
43,250720000.0,6.08289e-18,3.89305e-18,0.0,346.5735902799726,"[260720000, 260710000, 260700000]","[40.0, 50.0, 10.0]","['b-', 'b-n', 'b-2n']"
44,290720000.0,1.26991e-07,8.127430000000001e-08,0.0,0.10454708605730699,[300720000],[100.0],['b-']
45,280720000.0,7.5995e-08,4.8636999999999994e-08,0.0,0.4414950194649333,"[290720000, 290710000]","[100.0, 0.0]","['b-', 'b-n']"
46,310720001.0,1.92986e-10,1.23511e-10,1.0,17.468426929434106,[310720000],[100.0],['it']
47,310720000.0,1.92986e-10,1.23511e-10,0.0,1.3728405239848391e-05,[320720000],[100.0],['b-']
48,300720000.0,6.09957e-08,3.90372e-08,0.0,4.140664161051047e-06,[310720000],[100.0],['b-']
49,270720000.0,5.79959e-10,3.71174e-10,0.0,13.202803439237053,"[280720000, 280710000, 280700000]","[100.0, 6.0, 0.2]","['b-', 'b-n', 'b-2n']"
50,280730000.0,7.1295e-08,4.562880000000001e-08,0.0,0.8251752149523158,"[290730000, 290720000]","[100.0, 0.3]","['b-', 'b-n']"
51,260730000.0,5.5395400000000004e-14,3.54531e-14,0.0,53.73233957829033,"[270730000, 270720000, 270710000]","[76.0, 20.0, 4.0]","['b-', 'b-n', 'b-2n']"
52,320730001.0,5.5896e-12,3.57735e-12,1.0,237379.1714246388,[320730000],[100.0],['it']
53,310730000.0,1.2099e-08,7.743499999999999e-09,0.0,3.9617465738451376e-05,[320730000],[100.0],['b-']
54,290730000.0,4.7097e-07,3.0142e-07,0.0,0.16503504299046315,"[300730000, 300720000]","[100.0, 0.0]","['b-', 'b-n']"
55,320730000.0,2.37983e-11,1.52309e-11,0.0,0.0,[],[],[]
56,270730000.0,2.2098e-10,1.4143000000000002e-10,0.0,17.03064325700111,"[280730000, 280720000, 280710000]","[100.0, 9.0, 0.01]","['b-', 'b-n', 'b-2n']"
57,300730000.0,4.62967e-07,2.96299e-07,0.0,0.029495624704678522,[310730000],[100.0],['b-']
58,310740001.0,7.29948e-08,4.67167e-08,1.0,0.07296286111157319,"[310740000, 320740000]","[75.0, 25.0]","['it', 'b-']"
59,270740000.0,2.99979e-11,1.91986e-11,0.0,22.145277334183554,"[280740000, 280730000, 280720000]","[100.0, 26.0, 1.0]","['b-', 'b-n', 'b-2n']"
60,300740000.0,2.5098e-06,1.6063e-06,0.0,0.007250493520501521,[310740000],[100.0],['b-']
61,330740000.0,4.98965e-14,3.19337e-14,0.0,4.514652117071696e-07,"[320740000, 340740000]","[66.0, 34.0]","['b+', 'b-']"
62,290740000.0,6.81952e-07,4.36449e-07,0.0,0.4252436690551812,"[300740000, 300730000]","[100.0, 40.0]","['b-', 'b-n']"
63,310740000.0,7.29948e-08,4.67167e-08,0.0,0.0014227158878488205,[320740000],[100.0],['b-']
64,280740000.0,4.5796800000000005e-08,2.93099e-08,0.0,1.3652692152057224,"[290740000, 290730000]","[100.0, 5.0]","['b-', 'b-n']"
65,320740000.0,1.6699e-09,1.0687e-09,0.0,0.0,[],[],[]
66,320750000.0,6.80952e-09,4.35809e-09,0.0,0.00013955608853989394,[330750000],[100.0],['b-']
67,320750001.0,4.5596800000000004e-08,2.91819e-08,1.0,0.014531387433122541,"[320750000, 330750000]","[100.0, 0.03]","['it', 'b-']"
68,290750000.0,1.00993e-06,6.463540000000001e-07,0.0,0.5662967161437462,"[300750000, 300740000]","[100.0, 3.5]","['b-', 'b-n']"
69,330750000.0,2.5598e-11,1.6383e-11,0.0,0.0,[],[],[]
70,280750000.0,1.5299e-08,9.7913e-09,0.0,2.0903111597103297,"[290750000, 290740000]","[100.0, 10.0]","['b-', 'b-n']"
71,270750000.0,3.809630000000001e-12,2.4381599999999998e-12,0.0,26.15649737962058,"[280750000, 280740000, 280730000]","[100.0, 16.0, 0.5]","['b-', 'b-n', 'b-2n']"
72,310750000.0,1.9299e-06,1.2351e-06,0.0,0.005501168099682105,[320750000],[100.0],['b-']
73,300750000.0,7.66946e-06,4.90845e-06,0.0,0.06795560593724954,[310750000],[100.0],['b-']
74,260750000.0,1.0003e-16,6.4017e-17,0.0,346.5735902799726,"[270750000, 270740000, 270730000]","[0.0, 80.0, 20.0]","['b-', 'b-n', 'b-2n']"
75,300760000.0,1.8378699999999997e-05,1.17624e-05,0.0,0.12160476851928864,[310760000],[100.0],['b-']
76,330760000.0,1.6498800000000003e-09,1.05593e-09,0.0,7.443437383592877e-06,"[340760000, 320760000]","[100.0, 0.02]","['b-', 'ec']"
77,290760000.0,8.2794e-07,5.2988e-07,0.0,1.0869486914849384,"[300760000, 300750000]","[100.0, 7.2]","['b-', 'b-n']"
78,340760000.0,3.03979e-13,1.94546e-13,0.0,0.0,[],[],[]
79,270760000.0,2.5298e-13,1.6191e-13,0.0,30.136833937388925,"[280760000, 280750000, 280740000]","[100.0, 4.0, 6.0]","['b-', 'b-n', 'b-2n']"
80,280760000.0,5.01965e-09,3.2125700000000002e-09,0.0,2.95459156248911,"[290760000, 290750000]","[100.0, 14.0]","['b-', 'b-n']"
81,320760000.0,1.2999e-06,8.319400000000001e-07,0.0,1.3240694523908903e-26,[340760000],[100.0],['2b-']
82,310760000.0,1.04593e-05,6.69393e-06,0.0,0.021262183452759056,[320760000],[100.0],['b-']
83,300770000.0,3.1438e-05,2.012e-05,0.0,0.333243836807666,[310770000],[100.0],['b-']
84,320770001.0,8.90937e-07,5.702000000000001e-07,1.0,0.012907768725511085,"[330770000, 320770000]","[81.0, 19.0]","['b-', 'it']"
